symbol,symbol_type,exchange_name,description
EUR/TZS,forex,Forex,
EUR/UGX,forex,Forex,
EUR/KES,forex,Forex,
ALUMINUM,commodity,Commodity ALUMINUM,
NICKEL,commodity,Commodity NICKEL,
KE.CBOT.H2023,commodity,Dev,
KE.CBOT.K2023,commodity,Dev,
KE.CBOT.N2023,commodity,Dev,
KE.CBOT.U2023,commodity,Dev,
ARB-USD,crypto,Crypto,
RHM,stock,XETR,
NVO,stock,NYSE,
EUROC-USD,crypto,Crypto,
LPMT9863,stock,HKEX,
UPRO,stock,NDXB,
EMAR,stock,NDXB,
DSI,stock,NDXB,
ARTC,stock,NDXB,
PGE,stock,GPW,
WIG,index,GPW,
ALE,stock,GPW,
ALR,stock,GPW,
ACP,stock,GPW,
LWB,stock,GPW,
BMC,stock,GPW,
CCC,stock,GPW,
CDR,stock,GPW,
CIE,stock,GPW,
CPS,stock,GPW,
DNP,stock,GPW,
ENA,stock,GPW,
EUR,stock,GPW,
ATT,stock,GPW,
KTY,stock,GPW,
JSW,stock,GPW,
KGH,stock,GPW,
KRU,stock,GPW,
LPP,stock,GPW,
MBK,stock,GPW,
MIL,stock,GPW,
OPL,stock,GPW,
PCO,stock,GPW,
PKN,stock,GPW,
PKO,stock,GPW,
PZU,stock,GPW,
SPL,stock,GPW,
TPE,stock,GPW,
XTB,stock,GPW,
PEKAO,stock,GPW,
NOK/PLN,forex,Forex,
CHF/PLN,forex,Forex,
GBP/PLN,forex,Forex,
PLN/HUF,forex,Forex,
PLN/JPY,forex,Forex,
SVAV,moex,MOEX,
ENPH,stock,NASDAQ,
BE,stock,NYSE,
WMG,stock,NASDAQ,
PST,stock,MTA,
GNLX,stock,NASDAQ,
cool-cats-nft,nft,Crypto,
USD/MYR,forex,Forex,
USD/CNY,forex,Forex,
USD/IDR,forex,Forex,
USD/VND,forex,Forex,
USD/THB,forex,Forex,
ABR,stock,TSXV,
TMC,stock,TSXV,
CDNS,stock,NASDAQ,
BLDR,stock,NYSE,
TON-USD,crypto,Crypto,
PDD,stock,NASDAQ,
ENB.N,stock,NYSE,
cyberkongz/USDT,nft,Crypto,
cryptoadz-by-gremplin,nft,Crypto,
cryptoadz-by-gremplin/USDT,nft,Crypto,
world-of-women-nft,nft,Crypto,
world-of-women-nft/USDT,nft,Crypto,
art-blocks-playground,nft,Crypto,
art-blocks-playground/USDT,nft,Crypto,
parallelalpha,nft,Crypto,
parallelalpha/USDT,nft,Crypto,
superrare,nft,Crypto,
superrare/USDT,nft,Crypto,
bored-ape-kennel-club,nft,Crypto,
bored-ape-kennel-club/USDT,nft,Crypto,
cryptokitties,nft,Crypto,
cryptokitties/USDT,nft,Crypto,
lootproject,nft,Crypto,
lootproject/USDT,nft,Crypto,
